rail_id	run_accession	sample_accession	experiment_accession	study_accession	submission_accession	sra_ID	run_ID	run_alias	run_date	updated_date	spots	bases	run_center	experiment_name	run_attribute	experiment_ID	experiment_alias	experiment_title	study_name	sample_name	design_description	library_name	library_strategy	library_source	library_selection	library_layout	library_construction_protocol	read_spec	platform	instrument_model	platform_parameters	experiment_url_link	experiment_attribute	sample_ID	sample_alias	taxon_id	common_name	description	sample_url_link	sample_attribute	study_ID	study_alias	study_title	study_type	study_abstract	center_project_name	study_description	study_url_link	study_attribute	related_studies	primary_study	submission_ID	submission_comment	submission_center	submission_lab	submission_date	sradb_updated	layout	cell_type	tissue	cell_line	strain	age	disease	population	sex	source_name	project	sample	experiment	run	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	paired_end	sra_misreported_paired_end	mapped_read_count	auc	sharq_beta_tissue	sharq_beta_cell_type	biosample_submission_date	biosample_publication_date	biosample_update_date	avg_read_length	geo_accession	bigwig_file	title	characteristics	junction_count	junction_coverage	junction_avg_coverage
24586	SRR2603339	SRS1110088	SRX1322883	SRP064671	SRA304147	2613558	2278094	GSM1905140_r1	NA	2015-11-18	48405367	9681073400	NA	GSM1905140	NA	1993874	GSM1905140	GSM1905140: GSLv3-7_35; Homo sapiens; RNA-Seq	GSE73893	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	see details in Zhang et. al. For samples 1-4, we used sureselect single strand RNA selection kit. For sample 5-7, we used HundsonAlpha service for library construction, no strand information.	NA	ILLUMINA	Illumina HiSeq 2500	INSTRUMENT_MODEL: Illumina HiSeq 2500	NA	GEO Accession: GSM1905140	1711505	GSM1905140	9606	NA	NA	NA	source_name: human cell line || lentiviral transgenes: yes || passage number: 5 || cell line: leukemia cell line MEG-01 || knockdown: RBM15 (via shRBM15#1) || culture protocols: RPMI1640+10% FBS || harvest time: exponential phase	69785	GSE73893	Cross-talk between PRMT1-mediated methylation and ubiquitylation on RBM15 controls RNA splicing	Transcriptome Analysis	RBM15, an RNA binding protein, determines cell-fate specification of many tissues including blood. We demonstrate that RBM15 is methylated by protein arginine methyltransferase 1 (PRMT1) at residue R578 leading to its degradation via ubiquitylation by an E3 ligase (CNOT4). Overexpression of PRMT1 in acute megakaryocytic leukemia cell lines blocks megakaryocyte terminal differentiation by downregulation of RBM15 protein level. Restoring RBM15 protein level rescues megakaryocyte terminal differentiation blocked by PRMT1 overexpression. At the molecular level, RBM15 binds to pre-mRNA intronic regions of genes important for megakaryopoiesis such as GATA1, RUNX1, TAL1 and c-MPL. Furthermore, preferential binding of RBM15 to specific intronic regions recruits the splicing factor SF3B1 to the same sites for alternative splicing. Therefore, PRMT1 regulates alternative RNA splicing via reducing RBM15 protein concentration. Targeting PRMT1 may be a curative therapy to restore megakaryocyte differentiation for acute megakaryocytic leukemia. Overall design: In order to understand how RBM15 regulates RNA metabolism, we used a leukemia cell line (MEG-01 cell) to establish stable cell lines with RBM15 knockdown. For RNA immunoprecipitation (RIP) assay, normal immunoglobulin was used as controls for sample 1,2; and anti-RBM15 antibody was used for samples 3,4.	GSE73893	NA	NA	NA	NA	NA	495183	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	LEUKEMIA CELL LINE MEG-01	NA	NA	NA	NA	NA	HUMAN CELL LINE	SRP064671	SRS1110088	SRX1322883	SRR2603339	96810734	96810734	1	TRUE	FALSE	91554107	8881460157	NA	NA	2015-10-09T13:40:15.000	2015-11-18T01:13:24.647	2015-11-18T01:16:59.037	200	GSM1905140	SRR2603339.bw	GSLv3-7_35	c("lentiviral transgenes: yes", "passage number: 5", "cell line: leukemia cell line MEG-01", "knockdown: RBM15 (via shRBM15#1)", "culture protocols: RPMI1640+10% FBS", "harvest time: exponential phase")	261170	8812487	33.7423402381591
24627	SRR2313085	SRS1060808	SRX1210931	SRP063493	SRA296861	2557073	2225686	GSM1872073_r1	NA	2015-09-11	37523311	5703543272	NA	GSM1872073	NA	1944665	GSM1872073	GSM1872073: 417P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872073	1662778	GSM1872073	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS || sf3b1 mutation: K700E	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060808	SRX1210931	SRR2313085	75046622	75046622	1	TRUE	FALSE	74621054	5656526390	NA	NA	2015-09-08T12:06:32.000	2015-09-09T01:25:20.880	2015-09-09T08:18:25.333	152	GSM1872073	SRR2313085.bw	417P-R	c("disease state: MDS", "sf3b1 mutation: K700E")	171080	12320201	72.0142681786299
25062	SRR1813229	SRS852596	SRX885684	SRP055411	SRA243950	2315600	1987227	GSM1616458_r1	NA	2015-09-03	120426689	18064003350	NA	GSM1616458	NA	1733897	GSM1616458	GSM1616458: Depleted BUD31, replicate 3; Homo sapiens; RNA-Seq	GSE66182	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was isolated using the Rneasy kit (Qiagen). RNA samples were rRNA depleted, and RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1616458: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1616458	GEO Accession: GSM1616458	1462606	GSM1616458	9606	NA	NA	NA	source_name: MYC-ER HMECs with dox-inducible shBUD31 || cell line: MYC-ER HMECs with dox-inducible shBUD31 (pINDUCER-shBUD31-3'UTR) || cell type: Immortalized mammary epithelial cell || passages: 10 || condition: Depleted BUD31	62425	GSE66182	Oncogenic MYC induces a dependency on the spliceosome in human cancer	Transcriptome Analysis	c-MYC (MYC) overexpression or hyperactivation is one of the most common drivers of human cancer. Despite intensive study, the MYC oncogene remains recalcitrant to therapeutic inhibition. Like other classic oncogenes, hyperactivation of MYC leads to collateral stresses onto cancer cells, suggesting that tumors harbor unique vulnerabilities arising from oncogenic activation of MYC. Herein, we discover the spliceosome as a new target of oncogenic stress in MYC-driven cancers. We identify BUD31 as a MYC-synthetic lethal gene, and demonstrate that BUD31 is a splicing factor required for the assembly and catalytic activity of the spliceosome. Core spliceosomal factors (SF3B1, U2AF1, and others) associate with BUD31 and are also required to tolerate oncogenic MYC. Notably, MYC hyperactivation induces an increase in total pre-mRNA synthesis, suggesting an increased burden on the core spliceosome to process pre-mRNA. In contrast to normal cells, partial inhibition of the spliceosome in MYC-hyperactivated cells leads to global intron retention, widespread defects in pre-mRNA maturation, and deregulation of many essential cell processes. Importantly, genetic or pharmacologic inhibition of the spliceosome in vivo impairs survival, tumorigenicity, and metastatic proclivity of MYC-dependent breast cancers. Collectively, these data suggest that oncogenic MYC confers a collateral stress on splicing and that components of the spliceosome may be therapeutic entry points for aggressive MYC-driven cancers. Overall design: Examination of intron rentention in MYC-ER HMECs, in 4 conditions	GSE66182	NA	NA	NA	NA	NA	463073	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	IMMORTALIZED MAMMARY EPITHELIAL CELL	NA	MYC-ER HMECS WITH DOX-INDUCIBLE SHBUD31 (PINDUCER-SHBUD31-3'UTR)	NA	NA	NA	NA	NA	MYC-ER HMECS WITH DOX-INDUCIBLE SHBUD31	SRP055411	SRS852596	SRX885684	SRR1813229	240853378	240853378	1	TRUE	FALSE	235986476	17409041014	NA	NA	2015-02-23T07:05:27.537	2015-09-04T01:12:59.517	2015-09-04T01:14:34.650	150	GSM1616458	SRR1813229.bw	Depleted BUD31, replicate 3	c("cell line: MYC-ER HMECs with dox-inducible shBUD31 (pINDUCER-shBUD31-3'UTR)", "cell type: Immortalized mammary epithelial cell", "passages: 10", "condition: Depleted BUD31")	237797	23955455	100.739096792642
25081	SRR2313104	SRS1060789	SRX1210950	SRP063493	SRA296861	2557075	2225705	GSM1872092_r1	NA	2015-09-11	61577104	11083878720	NA	GSM1872092	NA	1944684	GSM1872092	GSM1872092: Nalm-6 K666N #3; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872092	1662759	GSM1872092	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6 || sf3b1 mutation: K666N	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060789	SRX1210950	SRR2313104	123154208	123154208	1	TRUE	FALSE	123120968	11028080494	NA	NA	2015-09-08T12:06:54.000	2015-09-09T01:26:46.903	2015-09-09T08:18:33.833	180	GSM1872092	SRR2313104.bw	Nalm-6 K666N #3	c("cell line: Nalm-6", "sf3b1 mutation: K666N")	273300	21745222	79.5653933406513
25213	SRR650431	SRS386366	SRX218319	SRP018028	SRA065153	1660128	1352002	GSM1066120_r1	NA	2015-09-07	14767468	2953493600	NA	GSM1066120_1	NA	1202323	GSM1066120_1	GSM1066120: SF3B1 mutant patient #2; Homo sapiens; RNA-Seq	GSE43603	GSM1066120	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	NA	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1066120	GEO Accession: GSM1066120	1004356	GSM1066120	9606	NA	NA	NA	source_name: bone marrow mononuclear cells || tissue: bone marrow || genotype: SF3B1 somatic heterozygote, K700E || disease: RARS, 50% ring sideroblasts	31555	GSE43603	Differential gene expression and exon usage in bone marrow from RARS patients with SF3B1 somatic mutations compared to healthy patients.	Transcriptome Analysis	SF3B1, splicing factor 3b subunit 1 is a component of the RNA splicing machinery and it has been found to be highly mutated in refractory anemia with ring sideroblasts (RARS) and RARS associated with thrombocytosis (RARS-T). The aim of this study is to investigate the RNA splicing patterns in bone marrow from patients with SF3B1 somatic mutations compared to normal physiologic splicing. We compared the RNA splicing pattern as exon usage, differential gene expression, and pathway analysis with normal splicing Overall design: mRNA profiles, as measured by RNA-Seq, in bone marrow derived mononuclear cells from 2 RARS patients with SF3B1 somatic mutations were compared to the mRNA profile of a normal donor.	GSE43603	NA	NA	NA	NA	NA	347883	submission brokered by GEO	GEO	NA	2013-01-17	2018-02-15 18:13:00	PAIRED	NA	BONE MARROW	NA	NA	NA	RARS, 50% RING SIDEROBLASTS	NA	NA	BONE MARROW MONONUCLEAR CELLS	SRP018028	SRS386366	SRX218319	SRR650431	29534936	29534936	1	TRUE	FALSE	29034078	2432902490	bone	marrow	2013-01-17T18:05:06.640	2013-01-22T10:05:08.523	2014-03-06T16:49:07.306	200	GSM1066120	SRR650431.bw	SF3B1 mutant patient #2	c("tissue: bone marrow", "genotype: SF3B1 somatic heterozygote, K700E", "disease: RARS, 50% ring sideroblasts")	126356	2766600	21.8952800025325
26107	SRR2313097	SRS1060796	SRX1210943	SRP063493	SRA296861	2557074	2225698	GSM1872085_r1	NA	2015-09-11	41468459	7464322620	NA	GSM1872085	NA	1944677	GSM1872085	GSM1872085: Nalm-6 WT + CHX #2; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872085	1662766	GSM1872085	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6 || treatment: CHX	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060796	SRX1210943	SRR2313097	82936918	82936918	1	TRUE	FALSE	82727597	7261120383	NA	NA	2015-09-08T12:06:46.000	2015-09-09T01:25:38.550	2015-09-09T08:18:32.377	180	GSM1872085	SRR2313097.bw	Nalm-6 WT + CHX #2	c("cell line: Nalm-6", "treatment: CHX")	236892	11899776	50.23291626564
26120	SRR2313090	SRS1060803	SRX1210936	SRP063493	SRA296861	2557104	2225691	GSM1872078_r1	NA	2015-09-11	36129743	6503353740	NA	GSM1872078	NA	1944670	GSM1872078	GSM1872078: Nalm-6 WT #1; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872078	1662773	GSM1872078	9606	NA	NA	NA	source_name: B-cell precursor || biomaterial_provider: Horizon Discovery || cell line: Nalm-6	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NALM-6	NA	NA	NA	NA	NA	B-CELL PRECURSOR	SRP063493	SRS1060803	SRX1210936	SRR2313090	72259486	72259486	1	TRUE	FALSE	72247586	6468802523	NA	NA	2015-09-08T12:06:38.000	2015-09-09T01:25:27.760	2015-09-09T08:18:30.213	180	GSM1872078	SRR2313090.bw	Nalm-6 WT #1	cell line: Nalm-6	223779	13107020	58.5712689751943
27168	SRR2313087	SRS1060806	SRX1210933	SRP063493	SRA296861	2557111	2225688	GSM1872075_r1	NA	2015-09-11	27747003	4217544456	NA	GSM1872075	NA	1944667	GSM1872075	GSM1872075: 712P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872075	1662776	GSM1872075	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS || sf3b1 mutation: K700E	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060806	SRX1210933	SRR2313087	55494006	55494006	1	TRUE	FALSE	55139436	4179550089	NA	NA	2015-09-08T12:06:34.000	2015-09-09T01:25:23.657	2015-09-09T08:18:25.717	152	GSM1872075	SRR2313087.bw	712P-R	c("disease state: MDS", "sf3b1 mutation: K700E")	165107	8208269	49.7148455244175
28064	SRR1813228	SRS852597	SRX885683	SRP055411	SRA243950	2315604	1987226	GSM1616457_r1	NA	2015-09-03	114467096	17170064400	NA	GSM1616457	NA	1733896	GSM1616457	GSM1616457: Depleted BUD31, replicate 2; Homo sapiens; RNA-Seq	GSE66182	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was isolated using the Rneasy kit (Qiagen). RNA samples were rRNA depleted, and RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1616457: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1616457	GEO Accession: GSM1616457	1462607	GSM1616457	9606	NA	NA	NA	source_name: MYC-ER HMECs with dox-inducible shBUD31 || cell line: MYC-ER HMECs with dox-inducible shBUD31 (pINDUCER-shBUD31-3'UTR) || cell type: Immortalized mammary epithelial cell || passages: 10 || condition: Depleted BUD31	62425	GSE66182	Oncogenic MYC induces a dependency on the spliceosome in human cancer	Transcriptome Analysis	c-MYC (MYC) overexpression or hyperactivation is one of the most common drivers of human cancer. Despite intensive study, the MYC oncogene remains recalcitrant to therapeutic inhibition. Like other classic oncogenes, hyperactivation of MYC leads to collateral stresses onto cancer cells, suggesting that tumors harbor unique vulnerabilities arising from oncogenic activation of MYC. Herein, we discover the spliceosome as a new target of oncogenic stress in MYC-driven cancers. We identify BUD31 as a MYC-synthetic lethal gene, and demonstrate that BUD31 is a splicing factor required for the assembly and catalytic activity of the spliceosome. Core spliceosomal factors (SF3B1, U2AF1, and others) associate with BUD31 and are also required to tolerate oncogenic MYC. Notably, MYC hyperactivation induces an increase in total pre-mRNA synthesis, suggesting an increased burden on the core spliceosome to process pre-mRNA. In contrast to normal cells, partial inhibition of the spliceosome in MYC-hyperactivated cells leads to global intron retention, widespread defects in pre-mRNA maturation, and deregulation of many essential cell processes. Importantly, genetic or pharmacologic inhibition of the spliceosome in vivo impairs survival, tumorigenicity, and metastatic proclivity of MYC-dependent breast cancers. Collectively, these data suggest that oncogenic MYC confers a collateral stress on splicing and that components of the spliceosome may be therapeutic entry points for aggressive MYC-driven cancers. Overall design: Examination of intron rentention in MYC-ER HMECs, in 4 conditions	GSE66182	NA	NA	NA	NA	NA	463073	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	IMMORTALIZED MAMMARY EPITHELIAL CELL	NA	MYC-ER HMECS WITH DOX-INDUCIBLE SHBUD31 (PINDUCER-SHBUD31-3'UTR)	NA	NA	NA	NA	NA	MYC-ER HMECS WITH DOX-INDUCIBLE SHBUD31	SRP055411	SRS852597	SRX885683	SRR1813228	228934192	228934192	1	TRUE	FALSE	224201965	16531259783	NA	NA	2015-02-23T07:05:22.860	2015-09-04T01:12:58.153	2015-09-04T01:14:31.293	150	GSM1616457	SRR1813228.bw	Depleted BUD31, replicate 2	c("cell line: MYC-ER HMECs with dox-inducible shBUD31 (pINDUCER-shBUD31-3'UTR)", "cell type: Immortalized mammary epithelial cell", "passages: 10", "condition: Depleted BUD31")	241853	21945051	90.7371461176831
28178	SRR628589	SRS378360	SRX208482	SRP017413	SRA062359	1644700	1336653	s_2_CTTGTAA_0708	NA	2013-07-30	18125870	3661425740	NA	NA	NA	1192938	MM176T RNA-SEQ	Transcriptome sequencing of uveal melanoma MM176T	NA	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	NA	PAIRED - NOMINAL_LENGTH: 300;	NA	READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 102	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	NA	996146	MM176T	9606	NA	NA	NA	tissue: Eye || sf3b1 mutation status: R625C || disease: Uveal melanoma || tumor class: Class 1	30930	PRJNA182344	Transcriptome profiling of primary uveal  melanomas	Transcriptome Analysis	Uveal melanoma is the most common primary malignancy of the eye. By studying the expression of genes in primary uveal melanoma tumors we hope to gain an understanding of the underlying molecular biology. Expression analysis between uveal melanoma classes may make particularly important contributions to diagnosis and treatment decisions.	Homo sapiens	NA	NA	NA	NA	NA	345914	NA	Washington University in St. Louis	Bowcock Lab	2012-12-04	2018-02-15 18:13:00	PAIRED	NA	EYE	NA	NA	NA	UVEAL MELANOMA	NA	NA	NA	SRP017413	SRS378360	SRX208482	SRR628589	36251740	36251740	1	TRUE	FALSE	35966856	3591551330	NA	NA	2012-11-29T01:45:21.287	2013-07-24T11:09:04.320	2014-03-06T16:45:59.820	202	NA	SRR628589.bw	NA	NA	142416	5979285	41.9846435793731
28600	SRR2603340	SRS1110089	SRX1322884	SRP064671	SRA304147	2613557	2278095	GSM1905141_r1	NA	2015-11-18	49386115	9877223000	NA	GSM1905141	NA	1993875	GSM1905141	GSM1905141: GSLv3-7_36; Homo sapiens; RNA-Seq	GSE73893	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	see details in Zhang et. al. For samples 1-4, we used sureselect single strand RNA selection kit. For sample 5-7, we used HundsonAlpha service for library construction, no strand information.	NA	ILLUMINA	Illumina HiSeq 2500	INSTRUMENT_MODEL: Illumina HiSeq 2500	NA	GEO Accession: GSM1905141	1711506	GSM1905141	9606	NA	NA	NA	source_name: human cell line || lentiviral transgenes: yes || passage number: 5 || cell line: leukemia cell line MEG-01 || knockdown: RBM15 (via shRBM15#2) || culture protocols: RPMI1640+10% FBS || harvest time: exponential phase	69785	GSE73893	Cross-talk between PRMT1-mediated methylation and ubiquitylation on RBM15 controls RNA splicing	Transcriptome Analysis	RBM15, an RNA binding protein, determines cell-fate specification of many tissues including blood. We demonstrate that RBM15 is methylated by protein arginine methyltransferase 1 (PRMT1) at residue R578 leading to its degradation via ubiquitylation by an E3 ligase (CNOT4). Overexpression of PRMT1 in acute megakaryocytic leukemia cell lines blocks megakaryocyte terminal differentiation by downregulation of RBM15 protein level. Restoring RBM15 protein level rescues megakaryocyte terminal differentiation blocked by PRMT1 overexpression. At the molecular level, RBM15 binds to pre-mRNA intronic regions of genes important for megakaryopoiesis such as GATA1, RUNX1, TAL1 and c-MPL. Furthermore, preferential binding of RBM15 to specific intronic regions recruits the splicing factor SF3B1 to the same sites for alternative splicing. Therefore, PRMT1 regulates alternative RNA splicing via reducing RBM15 protein concentration. Targeting PRMT1 may be a curative therapy to restore megakaryocyte differentiation for acute megakaryocytic leukemia. Overall design: In order to understand how RBM15 regulates RNA metabolism, we used a leukemia cell line (MEG-01 cell) to establish stable cell lines with RBM15 knockdown. For RNA immunoprecipitation (RIP) assay, normal immunoglobulin was used as controls for sample 1,2; and anti-RBM15 antibody was used for samples 3,4.	GSE73893	NA	NA	NA	NA	NA	495183	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	LEUKEMIA CELL LINE MEG-01	NA	NA	NA	NA	NA	HUMAN CELL LINE	SRP064671	SRS1110089	SRX1322884	SRR2603340	98772230	98772230	1	TRUE	FALSE	97630144	9467467919	NA	NA	2015-10-09T13:40:16.000	2015-11-18T01:13:25.753	2015-11-18T01:16:58.643	200	GSM1905141	SRR2603340.bw	GSLv3-7_36	c("lentiviral transgenes: yes", "passage number: 5", "cell line: leukemia cell line MEG-01", "knockdown: RBM15 (via shRBM15#2)", "culture protocols: RPMI1640+10% FBS", "harvest time: exponential phase")	270003	11205160	41.5001314800206
